Anglais : preparation au TOEIC 1,M. BRENEUR,2,2,,,
Bi & big data,M. OVAL,3,3,,,
Communication professionnelle,M. POUYAT,2,2,17,,15
Deep Learning,M. VIDAL,3,3,12.5,,
Developpement d'un bot de trading en python,M. ZELLOU,N.C,N.C,14.5,17,20
E-learning (foad) : langues & cultures d'entreprise,Mme PLATON,1,1,,,
"Environnement de developpement de test et de production : amazon web service",M. AROUS,3,3,,,
"Management de projet SI : CdC risque et pilotage",M. TISSOT,2,2,,,
Mathématiques Avancees pour Big Data avec R,M. BIANCHINI,2,2,12,,
Option entreprenariat,M. MORIN,N.C,N.C,,,
Programmation fonctionnelle avec scala,Mme THORNARY,3,3,,,
Programme open esgi & vie d'école,Mme PLATON,3,3,,,
Spark core,M. AIT OUARAB,3,3,11,,
